From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
730;734;sea;1650;1;1;1;1;Nile
229;734;sea;1650;1;1;1;1;Nile
229;735;sea;1650;1;1;1;1;Nile
731;735;sea;1650;1;1;1;1;Nile
740;735;sea;1650;1;1;1;1;Nile
739;735;sea;1650;1;1;1;1;Nile
739;736;sea;1650;1;1;1;1;Nile
737;736;sea;1650;1;1;1;1;Nile
731;740;sea;1650;1;1;1;1;Nile
744;745;sea;1650;1;1;1;1;Nile
750;745;sea;1650;1;1;1;1;Nile
750;748;sea;1650;1;1;1;1;Nile
751;748;sea;1650;1;1;1;1;Nile
751;752;sea;1650;1;1;1;1;Nile
753;752;sea;1650;1;1;1;1;Nile
753;754;sea;1650;1;1;1;1;Nile
755;756;sea;1650;1;1;1;1;Nile
755;757;sea;1650;1;1;1;1;Nile
758;757;sea;1650;1;1;1;1;Nile
758;760;sea;1650;1;1;1;1;Nile
759;761;sea;1650;1;1;1;1;Nile
763;761;sea;1650;1;1;1;1;Nile
763;762;sea;1650;1;1;1;1;Nile
780;762;sea;1650;1;1;1;1;Nile
780;781;sea;1650;1;1;1;1;Nile
781;782;sea;1650;1;1;1;1;Nile
783;782;sea;1650;1;1;1;1;Nile
-1;-1;;-1;-1;-1;-1;-1;-1;
