From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
2034;3250;sea;1674;-1;-1;-1;-1;persia organa
2031;3250;sea;1674;-1;-1;-1;-1;persia organa
249;245;sea;1416;-1;-1;-1;-1;italy sicilia
272;270;sea;1396;-1;-1;-1;-1;Sardinia Corsica
3275;1652;canal;1775;-1;-1;-1;-1;nile_canal
487;417;sea;1446;-1;-1;-1;-1;
487;418;sea;1446;-1;-1;-1;-1;
593;600;sea;1471;-1;-1;-1;-1;
705;703;sea;1531;-1;-1;-1;-1;
705;707;sea;1531;-1;-1;-1;-1;
705;706;sea;1531;-1;-1;-1;-1;
708;706;sea;1531;-1;-1;-1;-1;
573;536;sea;1473;-1;-1;-1;-1;
560;564;sea;1542;-1;-1;-1;-1;
506;564;sea;1542;-1;-1;-1;-1;
638;779;sea;1611;-1;-1;-1;-1;
633;734;sea;1607;-1;-1;-1;-1;
634;735;sea;1607;-1;-1;-1;-1;
260;261;sea;1504;-1;-1;-1;-1;
958;959;sea;1257;-1;-1;-1;-1;
2437;693;sea;1534;-1;-1;-1;-1;
692;693;sea;1534;-1;-1;-1;-1;
691;693;sea;1534;-1;-1;-1;-1;
263;225;sea;1413;-1;-1;-1;-1;
612;613;sea;1546;-1;-1;-1;-1;
5;301;sea;1355;-1;-1;-1;-1;
4;302;sea;1355;-1;-1;-1;-1;
753;725;sea;1559;-1;-1;-1;-1;
518;541;sea;1476;-1;-1;-1;-1;
576;577;sea;1472;-1;-1;-1;-1;
540;577;sea;1472;-1;-1;-1;-1;
540;539;sea;1472;-1;-1;-1;-1;
500;542;sea;1513;-1;-1;-1;-1;
730;731;sea;1608;-1;-1;-1;-1;
567;582;sea;1542;-1;-1;-1;-1;
1129;1134;sea;1621;-1;-1;-1;-1;
1128;1133;sea;1621;-1;-1;-1;-1;
2425;1937;sea;1668;-1;-1;-1;-1;
2336;2340;sea;1654;-1;-1;-1;-1;
3044;3048;sea;1654;-1;-1;-1;-1;
2544;2545;sea;2705;-1;-1;-1;-1;
2551;2584;sea;2709;-1;-1;-1;-1;
2551;2583;sea;2709;-1;-1;-1;-1;
2498;751;sea;1557;-1;-1;-1;-1;
925;972;sea;1265;1;1;1;1;
974;972;sea;1265;1;1;1;1;
973;972;sea;1264;1;1;1;1;
974;975;sea;1263;1;1;1;1;
275;202;sea;1410;-1;-1;-1;-1;
2636;2637;sea;1695;-1;-1;-1;-1;
2636;2635;sea;1695;-1;-1;-1;-1;
2636;2632;sea;1695;-1;-1;-1;-1;
2636;2062;sea;1695;-1;-1;-1;-1;
411;3021;sea;1446;-1;-1;-1;-1;
2754;2750;sea;2387;1;1;1;1;Ceylon
1753;1768;sea;3275;1;1;1;1;Nile
1754;1768;sea;3275;1;1;1;1;Nile
1754;1755;sea;3275;1;1;1;1;Nile
1759;1755;sea;3275;1;1;1;1;Nile
1759;1758;sea;3275;1;1;1;1;Nile
1760;1758;sea;3275;1;1;1;1;Nile
1760;1765;sea;3275;1;1;1;1;Nile
1761;1765;sea;3275;1;1;1;1;Nile
1761;1764;sea;3275;1;1;1;1;Nile
1763;3098;sea;3275;1;1;1;1;Nile
1768;1767;sea;3275;1;1;1;1;Nile
1755;1758;sea;3275;1;1;1;1;Nile
1755;1769;sea;3275;1;1;1;1;Nile
1766;1771;sea;3275;1;1;1;1;Nile
1769;1773;sea;3275;1;1;1;1;Nile
1758;1773;sea;3275;1;1;1;1;Nile
1758;1770;sea;3275;1;1;1;1;Nile
1773;1770;sea;3275;1;1;1;1;Nile
1773;1774;sea;3275;1;1;1;1;Nile
1771;1772;sea;3275;1;1;1;1;Nile
1773;1772;sea;3275;1;1;1;1;Nile
1762;3098;sea;3275;1;1;1;1;Nile
1762;1805;sea;1296;1;1;1;1;Nile
2345;1805;sea;1296;1;1;1;1;Nile
2346;1805;sea;1296;1;1;1;1;Nile
2347;2348;sea;1296;1;1;1;1;Nile
2349;2348;sea;1296;1;1;1;1;Nile
2350;2348;sea;1296;1;1;1;1;Nile
2350;1811;sea;1296;1;1;1;1;Nile
2350;2351;sea;1296;1;1;1;1;Nile
2352;2351;sea;1299;1;1;1;1;Nile
2352;1839;sea;1299;1;1;1;1;Nile
2353;1839;sea;1299;1;1;1;1;Nile
2354;1839;sea;1299;1;1;1;1;Nile
2354;1877;sea;1299;1;1;1;1;Nile
2354;2356;sea;1299;1;1;1;1;Nile
2355;2356;sea;1299;1;1;1;1;Nile
681;1096;sea;3276;1;1;1;1;Danube
682;1093;sea;3276;1;1;1;1;Danube
682;1086;sea;3276;1;1;1;1;Danube
679;1086;sea;3276;1;1;1;1;Danube
679;1085;sea;3276;1;1;1;1;Danube
672;1085;sea;3276;1;1;1;1;Danube
672;1085;sea;3277;1;1;1;1;Danube
672;1079;sea;3277;1;1;1;1;Danube
673;1079;sea;3277;1;1;1;1;Danube
674;1079;sea;3277;1;1;1;1;Danube
674;1075;sea;3277;1;1;1;1;Danube
675;1075;sea;3277;1;1;1;1;Danube
675;1076;sea;3277;1;1;1;1;Danube
678;1076;sea;3277;1;1;1;1;Danube
998;1054;sea;1301;1;1;1;1;Danube
712;1054;sea;1301;1;1;1;1;Danube
712;1053;sea;1301;1;1;1;1;Danube
711;1052;sea;1301;1;1;1;1;Danube
687;1052;sea;1301;1;1;1;1;Danube
684;1052;sea;1301;1;1;1;1;Danube
684;1051;sea;1301;1;1;1;1;Danube
683;1073;sea;1301;1;1;1;1;Danube
678;1074;sea;1301;1;1;1;1;Danube
2921;2922;sea;3419;1;1;1;1;Yangtze
2921;2923;sea;3419;1;1;1;1;Yangtze
2869;2923;sea;3419;1;1;1;1;Yangtze
2869;2924;sea;3419;1;1;1;1;Yangtze
2868;2924;sea;3419;1;1;1;1;Yangtze
2878;2924;sea;3419;1;1;1;1;Yangtze
2878;2927;sea;3420;1;1;1;1;Yangtze
2880;2927;sea;3420;1;1;1;1;Yangtze
2880;2934;sea;3420;1;1;1;1;Yangtze
2883;2934;sea;3420;1;1;1;1;Yangtze
2883;2939;sea;3421;1;1;1;1;Yangtze
2883;2940;sea;3421;1;1;1;1;Yangtze
2884;2940;sea;3421;1;1;1;1;Yangtze
2888;2940;sea;3422;1;1;1;1;Yangtze
2889;2940;sea;3422;1;1;1;1;Yangtze
2889;2941;sea;3422;1;1;1;1;Yangtze
2889;2942;sea;3422;1;1;1;1;Yangtze
2891;2942;sea;3422;1;1;1;1;Yangtze
2840;2852;sea;3424;1;1;1;1;Huang He
2839;2852;sea;3424;1;1;1;1;Huang He
2839;2853;sea;3424;1;1;1;1;Huang He
2839;2860;sea;3424;1;1;1;1;Huang He
2837;2860;sea;3425;1;1;1;1;Huang He
2837;2865;sea;3425;1;1;1;1;Huang He
2831;2865;sea;3425;1;1;1;1;Huang He
2828;2874;sea;3426;1;1;1;1;Huang He
2828;2876;sea;3426;1;1;1;1;Huang He
2826;2876;sea;3426;1;1;1;1;Huang He
2826;2894;sea;3426;1;1;1;1;Huang He
908;911;sea;3585;1;1;1;1;Rhenus
2276;911;sea;3585;1;1;1;1;Rhenus
2276;912;sea;3585;1;1;1;1;Rhenus
2275;912;sea;3586;1;1;1;1;Rhenus
2275;902;sea;3586;1;1;1;1;Rhenus
2275;895;sea;3586;1;1;1;1;Rhenus
2274;895;sea;3586;1;1;1;1;Rhenus
2272;895;sea;3586;1;1;1;1;Rhenus
2272;891;sea;3586;1;1;1;1;Rhenus
2271;891;sea;3586;1;1;1;1;Rhenus
2271;890;sea;3586;1;1;1;1;Rhenus
2270;890;sea;3586;1;1;1;1;Rhenus
2269;890;sea;3586;1;1;1;1;Rhenus
2062;2061;sea;3587;1;1;1;1;Indos
2062;2063;sea;3587;1;1;1;1;Indos
2626;2063;sea;3587;1;1;1;1;Indos
2624;2063;sea;3587;1;1;1;1;Indos
2624;2621;sea;3588;1;1;1;1;Indos
2623;2620;sea;3588;1;1;1;1;Indos
2622;2620;sea;3588;1;1;1;1;Indos
2622;2614;sea;3588;1;1;1;1;Indos
2613;2614;sea;3588;1;1;1;1;Indos
2666;2678;sea;3590;1;1;1;1;Ganges
2688;2678;sea;3590;1;1;1;1;Ganges
2688;2681;sea;3590;1;1;1;1;Ganges
2689;2681;sea;3590;1;1;1;1;Ganges
2689;2683;sea;3590;1;1;1;1;Ganges
2689;2685;sea;3590;1;1;1;1;Ganges
2690;2685;sea;3590;1;1;1;1;Ganges
2690;2691;sea;3589;1;1;1;1;Ganges
2699;2691;sea;3589;1;1;1;1;Ganges
2699;2693;sea;3589;1;1;1;1;Ganges
2698;2693;sea;3589;1;1;1;1;Ganges
2698;2696;sea;3589;1;1;1;1;Ganges
